Index,question,answer
1953,what happened to the other student?,he landed on the hood of the car.
1954,he landed on the hood of the car.,did he get off the hood?
1955,did he get off the hood?,"no, the car stopped and the passenger pushed the injured student off the hood."
1956,"no, the car stopped and the passenger pushed the injured student off the hood.",i'll bet the car continued on its way.
1957,i'll bet the car continued on its way.,of course it did. why stop after you've run over two people?
1958,of course it did. why stop after you've run over two people?,i hope they find them and put them in jail for life.
1959,what happened to your car?,i got a dent in the parking lot.
1960,i got a dent in the parking lot.,how did you get it?
1961,how did you get it?,i don't know. maybe it was from a shopping cart.
1962,i don't know. maybe it was from a shopping cart.,those shopping carts are dangerous.
1963,those shopping carts are dangerous.,especially the metal ones.
1964,especially the metal ones.,i don't park at a store that uses metal shopping carts.
1965,i don't park at a store that uses metal shopping carts.,"that's a good idea, but there was a good sale at this store."
1966,"that's a good idea, but there was a good sale at this store.",did you save any money on the sale?
1967,did you save any money on the sale?,"yes, i did. i saved about $50."
1968,"yes, i did. i saved about $50.",that's great.
1969,that's great.,"yes, except this dent will cost about $150."
1970,"did you see ""titanic""?",yes. it is a great movie.
1971,yes. it is a great movie.,i saw it twelve times.
1972,i saw it twelve times.,i saw it eight times.
1973,i saw it eight times.,i have the dvd.
1974,i have the dvd.,so do i.
1975,so do i.,let's go to your home.
1976,let's go to your home.,we can watch my dvd.
1977,we can watch my dvd.,and then we can go to my home.
1978,and then we can go to my home.,and watch your dvd.
1979,and watch your dvd.,i always cry at the end.
1980,i always cry at the end.,me too. it's so sad.
1981,let's play cards.,i don't know any card games.
1982,i don't know any card games.,i'll teach you one.
1983,i'll teach you one.,okay. what will you teach me?
1984,okay. what will you teach me?,it's called poker.
1985,it's called poker.,is it easy to learn?
1986,is it easy to learn?,"yes, it will only take about 30 minutes."
1987,"yes, it will only take about 30 minutes.",okay. teach me how to play.
1988,okay. teach me how to play.,we each get five cards.
1989,we each get five cards.,"oh, look. i have four tens."
1990,"oh, look. i have four tens.","that's great, but you're not supposed to tell me."
1991,"that's great, but you're not supposed to tell me.","oh. sorry. okay, i don't have four tens."
1992,i'm a good card player.,why is that?
1993,why is that?,because i watch the other players.
1994,because i watch the other players.,what do you mean?
1995,what do you mean?,people will tell you if they have a good hand.
1996,people will tell you if they have a good hand.,how do they do that?
1997,how do they do that?,"for example, a friend of mine licks his lips."
1998,"for example, a friend of mine licks his lips.","when he licks his lips, you know he has a good hand?"
1999,"when he licks his lips, you know he has a good hand?","i know he has a good hand, so i don't bet."
2000,"i know he has a good hand, so i don't bet.",he never wins your money?
2001,he never wins your money?,"nope, and it drives him crazy."
2002,"nope, and it drives him crazy.",he knows you can't read his mind. maybe he thinks you're cheating.
2003,"turn the radio down, please.",but i'm listening to it.
2004,but i'm listening to it.,"well, listen to it more quietly."
2005,"well, listen to it more quietly.",i can't wait till i grow up.
2006,i can't wait till i grow up.,what will you do?
2007,what will you do?,i will play the radio as loud as i want.
2008,i will play the radio as loud as i want.,that's okay with me.
2009,that's okay with me.,i will have a radio in every room of my house.
2010,i will have a radio in every room of my house.,remind me to never visit you.
2011,remind me to never visit you.,all the radios will be on extra loud.
2012,all the radios will be on extra loud.,your neighbors will hate you.
2013,your neighbors will hate you.,"if they don't like it, they can move."
2014,i hope i win the lotto.,your chances are very small.
2015,your chances are very small.,but you can't win if you don't play.
2016,but you can't win if you don't play.,ha! you can't win if you do play.
2017,ha! you can't win if you do play.,someone has to win.
2018,someone has to win.,that's what everyone says.
2019,that's what everyone says.,it might as well be me.
2020,it might as well be me.,that's what everyone says.
2021,that's what everyone says.,you're trying to tell me something.
2022,you're trying to tell me something.,that didn't take long.
2023,that didn't take long.,you think i should quit playing.
2024,you think i should quit playing.,save your money for school.
2025,what's on tv?,nothing much.
2026,nothing much.,what about the baseball game?
2027,what about the baseball game?,it got rained out.
2028,it got rained out.,rained out?
2029,rained out?,"yes, rained out."
2030,"yes, rained out.",how could that be?
2031,how could that be?,"well, you can't play baseball in a rainstorm."
2032,"well, you can't play baseball in a rainstorm.",i thought they were playing under a dome.
2033,i thought they were playing under a dome.,the dome doesn't close.
2034,the dome doesn't close.,why doesn't it close?
2035,why doesn't it close?,who knows? they said they'll fix it before next season.
2036,can i try your coffee?,sure. here you go.
2037,sure. here you go.,"hmm, that's not bad."
2038,"hmm, that's not bad.",there's nothing in it.
2039,there's nothing in it.,what do you mean?
2040,what do you mean?,"i mean, it's just coffee."
2041,"i mean, it's just coffee.",i figured that.
2042,i figured that.,it's not too bitter for you?
2043,it's not too bitter for you?,"it's a little bitter, but it's okay."
2044,"it's a little bitter, but it's okay.",there's no sugar or cream in it.
2045,there's no sugar or cream in it.,"no, it's a taste you have to get used to."
2046,"no, it's a taste you have to get used to.",sort of like beer.
2047,let's take a walk.,what's the weather like?
2048,what's the weather like?,let me step outside and see.
2049,let me step outside and see.,"it's a little chilly, right?"
2050,"it's a little chilly, right?","yes, it is."
2051,"yes, it is.",i'll put on my cap.
2052,i'll put on my cap.,"wear a jacket, too."
2053,"wear a jacket, too.",i wonder if i should bring my gloves.
2054,i wonder if i should bring my gloves.,"maybe you should, just in case it gets colder."
2055,"maybe you should, just in case it gets colder.",i'll put a glove in each pocket.
2056,i'll put a glove in each pocket.,we'll get warmer as we walk.
2057,we'll get warmer as we walk.,"yes, but it gets colder as the sun goes down."
2058,look at the car chase on tv!,that driver is crazy.
2059,that driver is crazy.,i can't believe he hasn't crashed.
2060,i can't believe he hasn't crashed.,how fast is he going?
2061,how fast is he going?,they say he's going 80 miles per hour.
2062,they say he's going 80 miles per hour.,he's going to kill someone.
2063,he's going to kill someone.,look! he just hit that car.
2064,look! he just hit that car.,"oh, my goodness. no one is safe on the streets."
2065,"oh, my goodness. no one is safe on the streets.",now he's slowing down.
2066,now he's slowing down.,maybe he ran out of gas.
2067,maybe he ran out of gas.,look! he just got out of the car and started running.
2068,look! he just got out of the car and started running.,i hope the police catch him.
2069,tv news is so stupid.,they shouldn't even call it news.
2070,they shouldn't even call it news.,last night they told us about a cat in a sofa.
2071,last night they told us about a cat in a sofa.,yesterday they told us about a dog in a pipe.
2072,yesterday they told us about a dog in a pipe.,last week they told us about a bear in a back yard.
2073,last week they told us about a bear in a back yard.,last month they told us about a mouse in a restaurant.
2074,last month they told us about a mouse in a restaurant.,the weatherman tells us the temperature in every town.
2075,the weatherman tells us the temperature in every town.,the sports guy shows us players fighting.
2076,the sports guy shows us players fighting.,"they always tell us ""what's next."""
2077,"they always tell us ""what's next.""","they always make ""what's next"" sound exciting, but it never is."
2078,"they always make ""what's next"" sound exciting, but it never is.",it's more like news for kids.
2079,it's more like news for kids.,they should have kid reporters.
2080,i love my computer.,computers are so cool.
2081,computers are so cool.,i love to go online.
2082,i love to go online.,the internet is amazing.
2083,the internet is amazing.,you can travel all over the world.
2084,you can travel all over the world.,i know. i went to china yesterday.
2085,i know. i went to china yesterday.,what did you do?
2086,what did you do?,i stood on the great wall and looked all around.
2087,i stood on the great wall and looked all around.,what was it like?
2088,what was it like?,it was like the real thing.
2089,it was like the real thing.,it was like being there?
2090,it was like being there?,"yes, i felt like i was actually there."
2091,the beatles are the best.,they are the best musical group ever.
2092,they are the best musical group ever.,i love all their songs.
2093,i love all their songs.,i don't know which one i like the best.
2094,i don't know which one i like the best.,i like the ones i can sing along with.
2095,i like the ones i can sing along with.,"so do i, like ""she loves you."""
2096,"so do i, like ""she loves you.""","she loves you, yeah, yeah, yeah!..."
2097,"she loves you, yeah, yeah, yeah!...",and you know you should be glad!
2098,and you know you should be glad!,what a great song.
2099,what a great song.,"how about ""let it be?"""
2100,"how about ""let it be?""","oh, yes! ""let it be, let it be"""
2101,"oh, yes! ""let it be, let it be""","there will be an answer, let it be!"
2102,let's go to a movie.,i'd rather not.
2103,i'd rather not.,why not?
2104,why not?,you know i don't like crowds.
2105,you know i don't like crowds.,let's go to an early movie.
2106,let's go to an early movie.,"okay, that won't be very crowded."
2107,"okay, that won't be very crowded.",what would you like to see?
2108,what would you like to see?,"oh, i don't care. you're the one who wants to go out."
2109,"oh, i don't care. you're the one who wants to go out.","well, i want to see ""the pursuit of happyness."""
2110,"well, i want to see ""the pursuit of happyness.""",what have you heard about it?
2111,what have you heard about it?,it's based on a true story about a divorced man and his young son.
2112,it's based on a true story about a divorced man and his young son.,"well, i hope it has a happy ending."
2113,what's your favorite thing to do?,i like to watch people.
2114,i like to watch people.,that's your favorite thing to do?
2115,that's your favorite thing to do?,"well, it's one of them."
2116,"well, it's one of them.",where do you go to watch people?
2117,where do you go to watch people?,my girlfriend and i sit outside starbucks.
2118,my girlfriend and i sit outside starbucks.,that sounds like a good spot.
2119,that sounds like a good spot.,we watch people walk by with their dogs.
2120,we watch people walk by with their dogs.,i guess you see lots of different dogs.
2121,i guess you see lots of different dogs.,we don't even know what kind most of them are.
2122,we don't even know what kind most of them are.,"there are lots of different kinds, but they all have one thing in common."
2123,"there are lots of different kinds, but they all have one thing in common.","yes, they love to sniff each other when they meet."
2124,they call him father dollar bill.,"yes, he was on the tv news today."
2125,"yes, he was on the tv news today.",every easter sunday he gives away money.
2126,every easter sunday he gives away money.,is it his money?
2127,is it his money?,no. movie stars give him money to give to homeless people.
2128,no. movie stars give him money to give to homeless people.,how much money does he give away?
2129,how much money does he give away?,"this year he gave away $15,000."
2130,"this year he gave away $15,000.",that's a lot of money.
2131,that's a lot of money.,he gave $100 to people in wheelchairs.
2132,he gave $100 to people in wheelchairs.,what about the other homeless people?
2133,what about the other homeless people?,they got $1 each.
2134,they got $1 each.,people stood in line just to get one dollar?!
2135,old movies are the best.,even though they're in black and white.
2136,even though they're in black and white.,a good story is more important than color.
2137,a good story is more important than color.,actors didn't curse back then.
2138,actors didn't curse back then.,and there was no violence.
2139,and there was no violence.,people today don't like that.
2140,people today don't like that.,"no, today people like lots of action."
2141,"no, today people like lots of action.",i like a good story.
2142,i like a good story.,i like to see actors who are like real people.
2143,i like to see actors who are like real people.,like real people with real problems.
2144,like real people with real problems.,they still make movies like that.
2145,they still make movies like that.,"yes, but they never make much money."
2146,do you get pbs on tv?,"yes, everybody gets the public broadcasting system."
2147,"yes, everybody gets the public broadcasting system.",it puts me to sleep.
2148,it puts me to sleep.,tell me about it.
2149,tell me about it.,a gardening show follows a knitting show.
2150,a gardening show follows a knitting show.,a cooking show follows a sewing show.
2151,a cooking show follows a sewing show.,a travel show follows another travel show.
2152,a travel show follows another travel show.,i'll say! i've gone around the world a dozen times already!
2153,i'll say! i've gone around the world a dozen times already!,now they're adding old tv shows to the old movies.
2154,now they're adding old tv shows to the old movies.,i sure would like to see something interesting for a change.
2155,i sure would like to see something interesting for a change.,"if more people donate money, pbs could offer new shows."
2156,"if more people donate money, pbs could offer new shows.",who wants to donate? public tv should be free.
2157,"i love to watch ""judge judy.""",is that a tv show?
2158,is that a tv show?,yes. it's on every afternoon.
2159,yes. it's on every afternoon.,what's so good about it?
2160,what's so good about it?,they have interesting lawsuits.
2161,they have interesting lawsuits.,such as?
2162,such as?,"yesterday, a woman complained about a cell phone she bought on ebay."
2163,"yesterday, a woman complained about a cell phone she bought on ebay.",was something wrong with the phone?
2164,was something wrong with the phone?,it works only in canada.
2165,it works only in canada.,did the seller know that?
2166,did the seller know that?,"yes, and he didn't tell the buyer."
2167,"yes, and he didn't tell the buyer.",i hope judge judy made the seller take the phone back.
2168,that woman is a very good singer.,"yes, but she looks like a man."
2169,"yes, but she looks like a man.",what difference does it make?
2170,what difference does it make?,female singers are supposed to be pretty.
2171,female singers are supposed to be pretty.,singers are supposed to sound good.
2172,singers are supposed to sound good.,"they should look good, too."
2173,"they should look good, too.",there are lots of ugly men singers.
2174,there are lots of ugly men singers.,men singers don't have to look good.
2175,men singers don't have to look good.,then neither do women singers.
2176,then neither do women singers.,"well, i would never buy her cd."
2177,"well, i would never buy her cd.",but you would buy her cd if she was pretty?
2178,but you would buy her cd if she was pretty?,yes. i would buy all of her cds.
2179,all the tv stations are going to go digital.,"yes, that will occur next month."
2180,"yes, that will occur next month.",most of them are already broadcasting in digital.
2181,most of them are already broadcasting in digital.,the digital signal is very clear.
2182,the digital signal is very clear.,"oh, no, it isn't!"
2183,"oh, no, it isn't!",what do you mean?
2184,what do you mean?,i can't get a single channel.
2185,i can't get a single channel.,do you have a digital tv?
2186,do you have a digital tv?,of course. but i don't have cable.
2187,of course. but i don't have cable.,"you don't need to have cable, but you do need a good antenna."
2188,"you don't need to have cable, but you do need a good antenna.",but i have rabbit ears.
2189,but i have rabbit ears.,rabbit ears aren't strong enough. buy a digital antenna.
2190,i've got a date for you.,"oh, really?"
2191,"oh, really?",are you interested?
2192,are you interested?,maybe. what is she like?
2193,maybe. what is she like?,she's got a great personality.
2194,she's got a great personality.,uh-oh. that means that she's fat and ugly.
2195,uh-oh. that means that she's fat and ugly.,she's cute.
2196,she's cute.,"okay, so she's not ugly; she's just fat."
2197,"okay, so she's not ugly; she's just fat.",she weighs 98 pounds.
2198,she weighs 98 pounds.,"okay, she's not fat. so what's the problem with her?"
2199,"okay, she's not fat. so what's the problem with her?",who said there is a problem with her?
2200,who said there is a problem with her?,the problem is she has no problemsshe's too good for me!
2201,i think you're very pretty.,thank you.
2202,thank you.,would you have dinner with me?
2203,would you have dinner with me?,i would like to.
2204,i would like to.,can i pick you up friday night?
2205,can i pick you up friday night?,what time?
2206,what time?,eight o'clock.
2207,eight o'clock.,that sounds great.
2208,that sounds great.,we'll go to a french restaurant.
2209,we'll go to a french restaurant.,i've never been to a french restaurant.
2210,i've never been to a french restaurant.,i think you'll love the food.
2211,i think you'll love the food.,i'm not going to eat any snails!
2212,you have pretty eyes.,thank you. so do you.
2213,thank you. so do you.,i wish my eyes were blue.
2214,i wish my eyes were blue.,what's the matter with green eyes?
2215,what's the matter with green eyes?,"nothing, except my favorite color is blue."
2216,"nothing, except my favorite color is blue.",maybe in your next life you'll have blue eyes.
2217,maybe in your next life you'll have blue eyes.,but what if i'm a fish in my next life?
2218,but what if i'm a fish in my next life?,i think some fish have blue eyes.
2219,i think some fish have blue eyes.,i hope i don't come back as a fish.
2220,i hope i don't come back as a fish.,i hope i come back as a cat.
2221,i hope i come back as a cat.,cats have beautiful eyes.
2222,cats have beautiful eyes.,i would love to have blue cat-eyes.
2223,i love you.,"i love you, too."
2224,"i love you, too.",i loved you the first day i saw you.
2225,i loved you the first day i saw you.,it was love at first sight?
2226,it was love at first sight?,"yes, it was love at first sight."
2227,"yes, it was love at first sight.",i didn't love you at first.
2228,i didn't love you at first.,i know. i had to chase you for a while.
2229,i know. i had to chase you for a while.,"yes, you chased me and then you caught me."
2230,"yes, you chased me and then you caught me.",now you're mine forever.
2231,now you're mine forever.,and you're mine forever.
2232,and you're mine forever.,we'll grow old together.
2233,we'll grow old together.,and be happy together.
2234,i'm in love with that girl.,have you told her?
2235,have you told her?,of course not.
2236,of course not.,why not?
2237,why not?,she would laugh at me.
2238,she would laugh at me.,how do you know?
2239,how do you know?,because they always do.
2240,because they always do.,maybe she's different.
2241,maybe she's different.,they're all the same.
2242,they're all the same.,just ask her out to dinner.
2243,just ask her out to dinner.,and then what?
2244,and then what?,and then she'll know that you like her.
2245,give me a hug.,i'm not in the mood.
2246,i'm not in the mood.,what's the matter?
2247,what's the matter?,i saw you looking at that woman.
2248,i saw you looking at that woman.,what woman?
2249,what woman?,"you know, that woman with the big boobs."
2250,"you know, that woman with the big boobs.",i was not looking at her.
2251,i was not looking at her.,"you were, too."
2252,"you were, too.",i'm not interested in her.
2253,i'm not interested in her.,then why were you looking at her?
2254,then why were you looking at her?,i was looking at something else.
2255,i was looking at something else.,"oh, really? then spend tonight looking at the sofa."
2256,would you like to go on a blind date?,you must be joking.
2257,you must be joking.,"no, i'm serious."
2258,"no, i'm serious.",i don't want to date a blind woman.
2259,i don't want to date a blind woman.,a blind date doesn't mean that she is blind!
2260,a blind date doesn't mean that she is blind!,what does it mean?
2261,what does it mean?,a blind date is a date with someone you don't know.
2262,a blind date is a date with someone you don't know.,why would i date someone i don't even know?
2263,why would i date someone i don't even know?,to try something new and exciting.
2264,to try something new and exciting.,what if i don't like her?
2265,what if i don't like her?,then you don't date her again.
2266,i have a date tomorrow night.,really? who with?
2267,really? who with?,a girl i met at the market.
2268,a girl i met at the market.,you met a girl at the supermarket?
2269,you met a girl at the supermarket?,she was standing behind me in a really slow line at the checkout counter.
2270,she was standing behind me in a really slow line at the checkout counter.,what did you say to her?
2271,what did you say to her?,"i had two pineapples in my cart, and she asked where i had found them."
2272,"i had two pineapples in my cart, and she asked where i had found them.",she asked you about your pineapples?
2273,she asked you about your pineapples?,"i told her i had gotten the last two on the shelf, but i offered her one of mine."
2274,"i told her i had gotten the last two on the shelf, but i offered her one of mine.",that was nice of you.
2275,that was nice of you.,"she asked me how she could return the favor, so i asked her out."
2276,"she asked me how she could return the favor, so i asked her out.",sometimes a slow line can be a good thing.
2277,did you have a date friday night?,"yes, in fact, i did."
2278,"yes, in fact, i did.",who did you go out with?
2279,who did you go out with?,a man i met in a coffee shop.
2280,a man i met in a coffee shop.,where did you go?
2281,where did you go?,we went to a nice restaurant.
2282,we went to a nice restaurant.,anywhere else?
2283,anywhere else?,then we went to a jazz club.
2284,then we went to a jazz club.,that sounds like a nice date.
2285,that sounds like a nice date.,"yes, it was pleasant."
2286,"yes, it was pleasant.",but you won't date him again?
2287,but you won't date him again?,"no. he was nice, but there was no chemistry."
2288,i had the worst date the other night.,what happened?
2289,what happened?,"first of all, he was half an hour late."
2290,"first of all, he was half an hour late.",that's not a good start.
2291,that's not a good start.,then he didn't bother to apologize.
2292,then he didn't bother to apologize.,that's rude.
2293,that's rude.,then he drove too fast to the restaurant.
2294,then he drove too fast to the restaurant.,that's dangerous.
2295,that's dangerous.,i thought about getting out and taking a taxi home.
2296,i thought about getting out and taking a taxi home.,what happened at the restaurant?
2297,what happened at the restaurant?,"we had a $40 meal, and he left a $1 tip!"
2298,"we had a $40 meal, and he left a $1 tip!",i guess you can't go back to that restaurant.
2299,i don't like that man.,why not?
2300,why not?,he's a dirty old man.
2301,he's a dirty old man.,what do you mean?
2302,what do you mean?,"he's old enough to be my father, yet he asked me out."
2303,"he's old enough to be my father, yet he asked me out.","well, you can't blame a man for asking."
2304,"well, you can't blame a man for asking.",he should act his age.
2305,he should act his age.,but a lot of old people are still interested in dating.
2306,but a lot of old people are still interested in dating.,they should find a nice hobby.
2307,they should find a nice hobby.,just wait until you're 50 years old.
2308,just wait until you're 50 years old.,dating will be the furthest thing from my mind.
2309,dating will be the furthest thing from my mind.,that's what you say now. wait till you're 50.
2310,does your girlfriend ever make you angry?,sometimes.
2311,sometimes.,what does she do?
2312,what does she do?,"just yesterday, i told her i wouldn't trade her for all the money in the world."
2313,"just yesterday, i told her i wouldn't trade her for all the money in the world.",that was a nice thing to say.
2314,that was a nice thing to say.,that's what i thought.
2315,that's what i thought.,what did she say?
2316,what did she say?,she laughed! she didn't believe me.
2317,she laughed! she didn't believe me.,that wasn't very nice of her.
2318,that wasn't very nice of her.,she said that nothing is more important to me than money.
2319,she said that nothing is more important to me than money.,what did you say?
2320,what did you say?,i told her i wouldn't trade her for any other woman in the world.
2321,some people have good noses.,i wish i had a good nose. mine is way too big.
2322,i wish i had a good nose. mine is way too big.,i don't mean good-looking. i mean good-smelling.
2323,i don't mean good-looking. i mean good-smelling.,oh. but that can be a curse.
2324,oh. but that can be a curse.,"yes, because you can be too sensitive to odors."
2325,"yes, because you can be too sensitive to odors.",i'll say. my girlfriend has a nose like a drug dog.
2326,i'll say. my girlfriend has a nose like a drug dog.,did she catch you using drugs?
2327,did she catch you using drugs?,sort of. she knows whenever i sneak a cigarette.
2328,sort of. she knows whenever i sneak a cigarette.,you don't need a good nose for thatcigarettes stink.
2329,you don't need a good nose for thatcigarettes stink.,"but when i sneak just one cigarette in the morning, she can smell it that evening!"
2330,"but when i sneak just one cigarette in the morning, she can smell it that evening!","boy, that is a good nose."
2331,"boy, that is a good nose.",i told her she should apply for a job at customs.
2332,let's go out to eat.,that sounds like fun.
2333,that sounds like fun.,where do you want to go?
2334,where do you want to go?,let me think a minute.
2335,let me think a minute.,i feel like chinese.
2336,i feel like chinese.,that sounds delicious.
2337,that sounds delicious.,i know a good chinese restaurant.
2338,i know a good chinese restaurant.,how far away is it?
2339,how far away is it?,it's only 10 minutes from here.
2340,it's only 10 minutes from here.,do we need reservations?
2341,do we need reservations?,"oh, no. we can walk right in."
2342,"oh, no. we can walk right in.",let's go now. i'm hungry!
2343,i can't believe how long this line is.,"this is a popular restaurant, isn't it?"
2344,"this is a popular restaurant, isn't it?","yes, but it isn't a fast-food restaurant, is it?"
2345,"yes, but it isn't a fast-food restaurant, is it?",it's the slowest hamburger in town.
2346,it's the slowest hamburger in town.,that's because they cook it while you wait.
2347,that's because they cook it while you wait.,yes. that's why it's also the best hamburger in town.
2348,yes. that's why it's also the best hamburger in town.,a great burger and great service.
2349,a great burger and great service.,"yes, the workers are very polite."
2350,"yes, the workers are very polite.",and they're clean.
2351,and they're clean.,i've been coming here for years.
2352,i've been coming here for years.,me too.
2353,me too.,excuse me. they just called my number.
2354,lunch was delicious.,thank you.
2355,thank you.,what kind of soup was that?
2356,what kind of soup was that?,it was tomato soup.
2357,it was tomato soup.,that tasted so good.
2358,that tasted so good.,i put lemon and butter in it.
2359,i put lemon and butter in it.,"the sandwich was good, too."
2360,"the sandwich was good, too.",everyone likes bacon and tomato sandwiches.
2361,everyone likes bacon and tomato sandwiches.,especially on toast.
2362,especially on toast.,"and the pickles were great, too."
2363,"and the pickles were great, too.",tomorrow we'll have rice and fish for lunch.
2364,tomorrow we'll have rice and fish for lunch.,i can't wait.
2365,i'm calling the waiter.,what's the matter?
2366,what's the matter?,this steak has too much fat.
2367,this steak has too much fat.,what do you want the waiter to do?
2368,what do you want the waiter to do?,bring me a better steak.
2369,bring me a better steak.,i wouldn't do that.
2370,i wouldn't do that.,why not?
2371,why not?,"they will drop the new steak on the floor, step on it, and then spit on it."
2372,"they will drop the new steak on the floor, step on it, and then spit on it.",you're crazy.
2373,you're crazy.,then the waiter will give you a big smile as he brings you the new steak.
2374,then the waiter will give you a big smile as he brings you the new steak.,where do you get these crazy ideas?
2375,where do you get these crazy ideas?,i used to cook in a restaurant!
2376,let's leave.,but we just got here.
2377,but we just got here.,did you see the waiter's hands?
2378,did you see the waiter's hands?,no.
2379,no.,he had dirty fingernails.
2380,he had dirty fingernails.,really?
2381,really?,his nails were black!
2382,his nails were black!,that's disgusting.
2383,that's disgusting.,and he poured water into our glasses.
2384,and he poured water into our glasses.,yuck! no water for me.
2385,yuck! no water for me.,"i wonder if the cooks' nails are dirty, too."
2386,"i wonder if the cooks' nails are dirty, too.",who cares? let's get out of here.
2387,this hot bread is delicious.,i like this restaurant because they give you free bread.
2388,i like this restaurant because they give you free bread.,"well, i think we are paying for it."
2389,"well, i think we are paying for it.",no. look at the bill when we get it. there's no charge for the bread.
2390,no. look at the bill when we get it. there's no charge for the bread.,"it is delicious, especially with butter."
2391,"it is delicious, especially with butter.",i think we should just leave after we fill up on the bread.
2392,i think we should just leave after we fill up on the bread.,they probably wouldn't like that.
2393,they probably wouldn't like that.,i'm eating so much bread that i'm getting full.
2394,i'm eating so much bread that i'm getting full.,then stop eating the bread!
2395,then stop eating the bread!,"okay, just one more piece. pass the butter, please."
2396,"okay, just one more piece. pass the butter, please.","if i owned a restaurant, i would never serve hot bread before the main course."
2397,"if i owned a restaurant, i would never serve hot bread before the main course.",that's terrible. i would never go to your restaurant.
2398,is this a clean restaurant?,"well, the tables and chairs look okay."
2399,"well, the tables and chairs look okay.","okay, let's sit down."
2400,"okay, let's sit down.",check out the silverware.
2401,check out the silverware.,it passes inspection.
2402,it passes inspection.,here comes the waiter. see if his hands and nails are clean.
2403,here comes the waiter. see if his hands and nails are clean.,"well, the waiter looked clean, so i guess it's okay to eat here."
2404,"well, the waiter looked clean, so i guess it's okay to eat here.",you're forgetting about the bathroom.
2405,you're forgetting about the bathroom.,i'm going to just hope that the bathroom is clean.
2406,i'm going to just hope that the bathroom is clean.,you're not going to examine it before we order dinner?
2407,you're not going to examine it before we order dinner?,"no, i'd rather not find out that it's dirty, because i'm pretty hungry right now."
2408,"no, i'd rather not find out that it's dirty, because i'm pretty hungry right now.","me, too. let's forget about germs and focus on food."
2409,have you seen our waiter?,here he comes now.
2410,here he comes now.,we've been sitting here for almost 10 minutes.
2411,we've been sitting here for almost 10 minutes.,"oops, i guess i was wrong. that isn't our waiter."
2412,"oops, i guess i was wrong. that isn't our waiter.","we can give him five more minutes, and then leave."
2413,"we can give him five more minutes, and then leave.",i'll go up front and talk to the manager.
2414,i'll go up front and talk to the manager.,that's a good idea.
2415,that's a good idea.,maybe they'll give us free drinks for waiting so long.
2416,maybe they'll give us free drinks for waiting so long.,maybe he'll send us our waiter immediately.
2417,maybe he'll send us our waiter immediately.,"every time we eat out, it's an adventure."
2418,"every time we eat out, it's an adventure.","last time, we got seats next to the kitchen."
2419,"last time, we got seats next to the kitchen.",we'll never go there again.
2420,is this table okay?,"no, it's too close to the kitchen door."
2421,"no, it's too close to the kitchen door.",how about this table?
2422,how about this table?,"no, it's too close to the front door."
2423,"no, it's too close to the front door.",this looks like a nice table.
2424,this looks like a nice table.,"no, it's too close to the salad bar."
2425,"no, it's too close to the salad bar.","okay, i give up."
2426,"okay, i give up.","well, there is one good table."
2427,"well, there is one good table.",great. which one?
2428,great. which one?,that one. a group of eight just sat down at it.
2429,i don't believe the art world.,what is it this time?
2430,what is it this time?,an andy warhol drawing.
2431,an andy warhol drawing.,he's a famous artist.
2432,he's a famous artist.,he drew two butterflies and a flower on a napkin in a restaurant.
2433,he drew two butterflies and a flower on a napkin in a restaurant.,did he sign it?
2434,did he sign it?,yes.
2435,yes.,is it beautiful?
2436,is it beautiful?,it's just black ink on a white napkin. and the napkin has food stains!
2437,it's just black ink on a white napkin. and the napkin has food stains!,so it's not worth much?
2438,so it's not worth much?,"only about $30,000."
2439,"only about $30,000.","without the food stains, it would probably be worth more."
2440,can we go to the baseball game?,of course.
2441,of course.,i love baseball.
2442,i love baseball.,so do i.
2443,so do i.,i love to eat the peanuts.
2444,i love to eat the peanuts.,i love to eat the hot dogs.
2445,i love to eat the hot dogs.,i hope we'll see a home run.
2446,i hope we'll see a home run.,i hope we'll catch a foul ball.
2447,i hope we'll catch a foul ball.,bring a jacket.
2448,bring a jacket.,yes. it gets a little cool at night.
2449,yes. it gets a little cool at night.,bring a glove to catch a foul ball.
2450,bring a glove to catch a foul ball.,no. i'll just use my cap to catch a foul ball.
2451,golf is a silly game.,it certainly is.
2452,it certainly is.,you hit a white ball.
2453,you hit a white ball.,and then you chase it.
2454,and then you chase it.,and then you hit it again.
2455,and then you hit it again.,"finally, you put the ball into a hole in the ground."
2456,"finally, you put the ball into a hole in the ground.","you do this 18 times, because there are 18 holes."
2457,"you do this 18 times, because there are 18 holes.",what's the point?
2458,what's the point?,how can it be fun?
2459,how can it be fun?,they pay money to play this silly game!
2460,they pay money to play this silly game!,i think golfers have a mental problem.
2461,i think golfers have a mental problem.,i think they're nuts.
2462,do you want to go fishing?,yes. that's a good idea.
2463,yes. that's a good idea.,where do you want to go?
2464,where do you want to go?,we can go to the river.
2465,we can go to the river.,or we can go to the lake.
2466,or we can go to the lake.,or we can go to the ocean.
2467,or we can go to the ocean.,let's go to the lake.
2468,let's go to the lake.,yes. the lake is only 10 miles away.
2469,yes. the lake is only 10 miles away.,we can be there in 20 minutes.
2470,we can be there in 20 minutes.,i'll get our fishing rods.
2471,i'll get our fishing rods.,i'll get the bait.
2472,i'll get the bait.,we'll have fresh fish for dinner!
2473,baseball is fun.,i like to hit the ball.
2474,i like to hit the ball.,i like to run around the bases.
2475,i like to run around the bases.,i like to slide into the bases.
